Q.No.,Date,Text,Asking Member,Addressed Ministry
229,05-Apr-2023,Hyperloop Technology,M. P. Abdussamad Samadani,RAILWAYS
230,05-Apr-2023,Mineral Production Index,"Ganesan Selvam
Dhanush M Kumar
C.N. Annadurai
Manjulata Mandal",MINES
231,05-Apr-2023,Role of Science,Kani K. Navas,SCIENCE AND TECHNOLOGY
232,05-Apr-2023,MTNL and BSNL,Pushpendra Singh Chandel,COMMUNICATIONS
233,05-Apr-2023,Employment through ATUFS,Rajeshbhai Naranbhai Chudasama,TEXTILES
234,05-Apr-2023,Import of Products,Anto Antony,COMMERCE AND INDUSTRY
235,05-Apr-2023,National Mission on Interdisciplinary Cyber Physical System,"Bharatiben Dhirubhai Shyal
Arvind Kumar Sharma",SCIENCE AND TECHNOLOGY
236,05-Apr-2023,Agricultural Exports,"Sujay Radhakrishna Vikhepatil
Krishna Pal Singh Yadav
Heena Vijaykumar Gavit
Rita Bahuguna Joshi
Unmesh Bhaiyyasaheb Patil
Shrikant Eknath Shinde",COMMERCE AND INDUSTRY
237,05-Apr-2023,Khan Prahari Scheme,"Krishna Pal Singh Yadav
Sujay Radhakrishna Vikhepatil
Unmesh Bhaiyyasaheb Patil
Rita Bahuguna Joshi
Shrikant Eknath Shinde
Heena Vijaykumar Gavit",COAL
238,05-Apr-2023,Call on Social Media Takedowns,"Prataprao Jadhav
Sudheer Gupta
Shrirang Appa Barne
Sanjay Sadashivrao Mandlik
Bidyut Baran Mahato
Sambhajirao Mane Dhairyasheel",ELECTRONICS AND INFORMATION TECHNOLOGY
239,05-Apr-2023,Construction of Warehouses under PPP,Rajveer Diler,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
240,05-Apr-2023,Slow Growth Rate in the Textile Sector,"Naranbhai Bhikhabhai Kachhadiya
Saikia Dilip
Devji Mansingram Patel
Ranjeetsingh Naik Nimbalkar",TEXTILES
241,05-Apr-2023,Role of Science,Kani K. Navas,SCIENCE AND TECHNOLOGY
242,05-Apr-2023,MTNL and BSNL,Pushpendra Singh Chandel,"CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
243,05-Apr-2023,Criteria for Advertisements for Cosmetic Products,"Omprakash Bhupalsinh alias Pawan Rajenimbalkar
Arvind Ganpat Sawant","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION"
244,05-Apr-2023,Stoppage of Bi-weekly Train at Karnal,Sanjay Bhatia,RAILWAYS
245,05-Apr-2023,People living Below Poverty Line,Badruddin Ajmal,PLANNING
246,05-Apr-2023,NRDC,Santosh Kumar,SCIENCE AND TECHNOLOGY
247,05-Apr-2023,Cancellation of Train Services,Dean Kuriakose,RAILWAYS
248,05-Apr-2023,Mega Textile Parks in Tamil Nadu,Vijayakumar (alias) Vijay Vasanth,TEXTILES
249,05-Apr-2023,Recovery of Isotopes from Radioactive Wastes,Parvesh Sahib Singh,ATOMIC ENERGY
250,05-Apr-2023,Semiconductor Units,Rajiv Pratap Rudy,ELECTRONICS AND INFORMATION TECHNOLOGY
251,05-Apr-2023,Resumption of Trains,Jaswantsinh Sumanbhai Bhabhor,RAILWAYS
252,05-Apr-2023,Technical Textile Sector,Ravneet Singh,TEXTILES
253,05-Apr-2023,Mobile Services in Aspirational Districts of Uttar Pradesh,Keshari Devi Patel,COMMUNICATIONS
254,05-Apr-2023,FDI,Reddeppa Nallakonda Gari,COMMERCE AND INDUSTRY
255,05-Apr-2023,Promotion of Industries,"Sukanta Majumdar
Jayanta Kumar Roy
Raja Amareshwara Naik
Sangeeta Kumari Singh Deo",TEXTILES
256,05-Apr-2023,Cost Escalation Projects,"Sumalatha Ambareesh
D.K. Suresh",RAILWAYS
257,05-Apr-2023,Free Trade Agreement,"Sudheer Gupta
Bidyut Baran Mahato
Prataprao Jadhav
Shrirang Appa Barne
Sanjay Sadashivrao Mandlik
Sambhajirao Mane Dhairyasheel",COMMERCE AND INDUSTRY
258,05-Apr-2023,Posibility of Earthquake,S. Muniswamy,EARTH SCIENCES
259,05-Apr-2023,EAC-PM,Sisir Kumar Adhikari,PLANNING
260,05-Apr-2023,PM Vishwakarma Kaushal Samman,"Y. S. Avinash Reddy
Manne Srinivas Reddy
Komati Reddy Venkat Reddy",TEXTILES
261,05-Apr-2023,Subsidy to Textiles Manufacturing Units,"Manoj Rajoria
Gowdar Mallikarjunappa Siddeshwara
Ranjeeta Koli
Sumedhanand Saraswati",TRIBAL AFFAIRS
262,03-Apr-2023,Data Breaches in Ed-Tech Apps,Dr. T. Sumathy (a) Thamizhachi Thangapandian,Education
263,03-Apr-2023,Implementation of Samagra Shiksha Abhiyan,"Manjulata Mandal
C.N. Annadurai",Education
264,03-Apr-2023,Fake Currency,Badruddin Ajmal,FINANCE
265,03-Apr-2023,Increase in Suicide Cases in Educational Institutions,"Behanan Benny
Rajmohan Unnithan",Education
266,03-Apr-2023,Teacher-Student Ratio and Basic Amenities in Government Schools,"Krishna Pal Singh Yadav
Rita Bahuguna Joshi",Education
267,03-Apr-2023,Development of Sea Beaches,Jual Oram,TOURISM
268,03-Apr-2023,Declaration of Rock Art Paintings as National Importance,Balashowry Vallabbhaneni,CULTURE
269,03-Apr-2023,Retrospective Taxation,Thirumaa Valavan Thol,FINANCE
270,03-Apr-2023,Revision in Compensation Cess on Chewing Tobacco,Ramdas Chandrabhanji Tadas,FINANCE
271,03-Apr-2023,Development of ST in Kerala,Thomas Chazhikadan,TRIBAL AFFAIRS
272,03-Apr-2023,Data Breaches in Ed-Tech Apps,Dr. T. Sumathy (a) Thamizhachi Thangapandian,Education
273,03-Apr-2023,Implementation of Samagra Shiksha Abhiyan,"Manjulata Mandal
C.N. Annadurai","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
274,03-Apr-2023,CGHS Facility for KV Staff,Rajan Baburao Vichare,Education
275,03-Apr-2023,Professional Education through Skill Development,Ramesh Chand Bind,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
276,03-Apr-2023,Lack of Electricity/Playgrounds in Government Schools,"Gajanan Chandrakant Kirtikar
Kalaben Mohanbhai Delkar",Education
277,03-Apr-2023,Status of Girls Education in India,Sumalatha Ambareesh,Education
278,03-Apr-2023,Alternative Products and Technologies to Plastics and their Applications,Kotagiri Sridhar,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
279,03-Apr-2023,Funds Spent under CSR,Dileshwar Kamait,CORPORATE AFFAIRS
280,03-Apr-2023,Vacant Posts in IITs/NITs,"Vijay Baghel
Mohan Mandavi",Education
281,03-Apr-2023,Environmental Impact of Coal Mining Activities,"Sujay Radhakrishna Vikhepatil
Unmesh Bhaiyyasaheb Patil
Rita Bahuguna Joshi
Heena Vijaykumar Gavit
Krishna Pal Singh Yadav
Shrikant Eknath Shinde",LABOUR AND EMPLOYMENT
282,03-Apr-2023,Entrepreneurship of Backward and Deprived Society,"Naranbhai Bhikhabhai Kachhadiya
Saikia Dilip
Devji Mansingram Patel",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
283,03-Apr-2023,Incubation Centres for Women,Midhun Reddy,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
284,03-Apr-2023,Scheme for Domestic Workers,"Manjulata Mandal
Dhanush M Kumar
Ganesan Selvam",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
285,03-Apr-2023,Irregularities in Lalit Kala Akademi,"Supriya Sadanand Sule
Manjulata Mandal
Ganesan Selvam
C.N. Annadurai
Kuldeep Rai Sharma
DNV Senthilkumar. S.
Subhash Ramrao Bhamre
Sunil Dattatray Tatkare
Amol Ramsing Kolhe
Dhanush M Kumar",CULTURE
286,03-Apr-2023,Data of Jobs Created in Various Industries,"Sudarshan Bhagat
Vinayak Bhaurao Raut
Sanjay Haribhau Jadhav",LABOUR AND EMPLOYMENT
287,03-Apr-2023,Preservation and beautification of Iconic Sites,Topon Kumar Gogoi,CULTURE
288,03-Apr-2023,Introduction of Life Sketch of Maharaja Agrasen in CBSE Syllabus,Ghanshyam Singh Lodhi,Education
289,03-Apr-2023,Encroachment of ASI Land,Sougata Ray,CULTURE
290,03-Apr-2023,Regional Language Teachers Required in Schools,Chandra Sekhar Sahu,Education
291,03-Apr-2023,Central Sector Scheme for Rehabilitation of Bonded Labourers,"Sujay Radhakrishna Vikhepatil
Unmesh Bhaiyyasaheb Patil
Rita Bahuguna Joshi
Heena Vijaykumar Gavit
Krishna Pal Singh Yadav
Shrikant Eknath Shinde",LABOUR AND EMPLOYMENT
292,03-Apr-2023,Entrepreneurship of Backward and Deprived Society,Brijendra Singh,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
293,03-Apr-2023,Shortage of Officials for Field Verification,Subrata Pathak,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
294,03-Apr-2023,Persons Registered on National Career Service Portal,Girish Chandra,LABOUR AND EMPLOYMENT
295,03-Apr-2023,Monuments Declared as Monuments of National Importance in Bihar,Veena Devi,CULTURE
296,03-Apr-2023,Money Laundering by Corporates,N.K. Premachandran,FINANCE
297,03-Apr-2023,Promotion of Tourism in Pollachi Constituency,K. Shanmuga Sundaram,TOURISM
298,03-Apr-2023,Placements under PMKVY,D. Ravikumar,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
299,03-Apr-2023,Deemed Universities,Ajay Nishad,Education
300,03-Apr-2023,Pension Scheme for Traders and Shopkeepers,Santosh Kumar,FINANCE
301,03-Apr-2023,Curriculum for AVGC,Sanjay Jaiswal,Education
302,03-Apr-2023,Generation of Livelihood for Youths and Women under PM-DevINE,Pallab Lochan Das,DEVELOPMENT OF NORTH EASTERN REGION
303,03-Apr-2023,Learning Loss Among Children due to Pandemic,K. Jayakumar,Education
304,03-Apr-2023,Special Package for Bihar,Rajiv Pratap Rudy,FINANCE
305,03-Apr-2023,Status of Block in Odisha,Suresh Pujari,TRIBAL AFFAIRS
306,03-Apr-2023,Central University in Dharamshala,Kishan Kapoor,Education
307,03-Apr-2023,Income Tax Raids,Thalikkottai Rajuthevar Baalu,FINANCE
308,03-Apr-2023,Off-Budget Borrowing,"Manne Srinivas Reddy
Komati Reddy Venkat Reddy
Y. S. Avinash Reddy",FINANCE
309,03-Apr-2023,Monuments Declared as Monuments of National Importance in Madhya Pradesh,Uday Pratap Singh,CULTURE
310,03-Apr-2023,Promotion of Plantation,Upendra Singh Rawat,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
311,03-Apr-2023,Unclaimed Deposits in PSBs,Kanakmal Katara,FINANCE
312,03-Apr-2023,Generation of Livelihood for Youths and Women under PM-DevINE,Pallab Lochan Das,FINANCE
313,03-Apr-2023,KVs and NVs Functional in Haryana/Sanctioned Vacant Posts in Central Universities,Ramesh Chander Kaushik,Education
314,03-Apr-2023,Conference on Climate Change,Rattan Lal Kataria,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
315,03-Apr-2023,Policy to Support Small Tour Operators during G20 Meetings,Sunita Duggal,TOURISM
316,03-Apr-2023,Azadi ka Amrit Mahotsav,Dharmendra Kumar Kashyap,CULTURE
317,03-Apr-2023,Capital and Development Expenditure by States,Anil Firojiya,FINANCE
318,03-Apr-2023,Review of Facilities Available in Secondary and Sr. Secondary Level Schools in U.P.,Ravi Kishan Shukla,Education
319,03-Apr-2023,Exemption of Senior Citizens from Income Tax Payment,Giridhari Yadav,FINANCE
320,03-Apr-2023,Order for National Flag,Gaurav Gogoi,CULTURE
321,03-Apr-2023,Refund from PACL Ltd.,Subhash Chandra Baheria,FINANCE
322,03-Apr-2023,Skill Development Centres in West Bengal,"Jayanta Kumar Roy
Sangeeta Kumari Singh Deo",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
323,03-Apr-2023,Eklavya Model Residential School in Odisha,Achyutananda Samanta,TRIBAL AFFAIRS
324,03-Apr-2023,CSR in Rajasthan,Bhagirath Chaudhary,CORPORATE AFFAIRS
325,03-Apr-2023,Training to Male and Female under PMKVY in Uttar Pradesh,"Dinesh Lal ""Nirahua"" Yadav",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
326,03-Apr-2023,Analyzing the Data of Skill Development Programmes,"Ravindra Kushawaha
Ravi Kishan Shukla",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
327,03-Apr-2023,Excavation at Telhara,Kaushalendra Kumar,CULTURE
328,03-Apr-2023,Budget Allocation/Mental Well-Being of Students under NEP 2020,Jamyang Tsering Namgyal,Education
329,03-Apr-2023,Legalization of Crypto Currency,"Khagen Murmu
Ravindra Kushawaha
Ravindra Kushawaha
Ravi Kishan Shukla
Subrata Pathak
Mahabali Singh",FINANCE
330,03-Apr-2023,Environmental Clearance to Construction of Additional Civil Terminal,Rajkumar Chahar,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
331,03-Apr-2023,Amendment in Law regarding Preservation of Monuments and Archaeological Sites,Raksha Nikhil Khadse,CULTURE
332,03-Apr-2023,Students Opting Foreign Universities for Higher Education,Anumula Revanth Reddy,Education
333,03-Apr-2023,Data of Non-Attending School Children of Age Group 6 to 12 years,Sukhbir Singh Jaunapuria,Education
334,03-Apr-2023,Students Going Abroad for Higher Education,Ramesh Bidhuri,Education
335,03-Apr-2023,Non-Governmental Organization in Uttar Pradesh,Sangeeta Azad,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
336,03-Apr-2023,Annual Grants for the Development of Backward Areas in Telangana,Nama Nageswara Rao,FINANCE
337,03-Apr-2023,Employment in Tribal Areas,Shiromani Ram,TRIBAL AFFAIRS
338,03-Apr-2023,Dumping Garbage in River Banks,"Saikia Dilip
Ranjeetsingh Naik Nimbalkar
Naranbhai Bhikhabhai Kachhadiya","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
339,03-Apr-2023,Unemployed Youth of Tribal Areas,Bheemrao Baswanthrao Patil,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
340,03-Apr-2023,Unemployment among the Well-educated,T.R.V.S. Ramesh,LABOUR AND EMPLOYMENT
341,03-Apr-2023,Free Tourist Visa for Foreigners,Queen Oja,TOURISM
342,03-Apr-2023,Development of Barabati Fort,Bhartruhari Mahtab,TOURISM
343,03-Apr-2023,Setting up of Sr. Secondary Schools within Every 5 Kms,"Rajiv Ranjan (Lalan) Singh
Santosh Kumar",Education
344,03-Apr-2023,Steps to Regulate Ed-Tech Sector,Kirit Premjibhai Solanki,Education
345,03-Apr-2023,Development of Tourism in West Bengal,Sunil Kumar Mondal,TOURISM
346,03-Apr-2023,Art and Culture Projects on PPP Model,Hema Malini,CULTURE
347,03-Apr-2023,Funds Spent under Ramayana Circuit and SDS,Gopal Jee Thakur,TOURISM
348,03-Apr-2023,Reduction in Customs and Excise Duties,"Mahabali Singh
Khagen Murmu",FINANCE
349,03-Apr-2023,Skill Development of Women,E. T. Mohammed Basheer,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
350,03-Apr-2023,Exploitation of Tea Plantation Labourers,Arun Kumar Sagar,LABOUR AND EMPLOYMENT
351,03-Apr-2023,Deregistration of Companies,Kalyan Banerjee,CORPORATE AFFAIRS
352,03-Apr-2023,Use of CSR Fund,Hemant Tukaram Godse,CORPORATE AFFAIRS
353,03-Apr-2023,Employability of Youth,Ranjeetsingh Naik Nimbalkar,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
354,03-Apr-2023,Tribes in Andaman and Nicobar Island,Abdul Khaleque,TRIBAL AFFAIRS
355,03-Apr-2023,Small and Marginal Traders under NPS,"Sanjeev Kumar Singari
Girish Chandra",LABOUR AND EMPLOYMENT
356,03-Apr-2023,Nursing Officers Federation of ESIC,Anto Antony,LABOUR AND EMPLOYMENT
357,03-Apr-2023,Preservation of Bangarh in West Bengal,Dibyendu Adhikari,CULTURE
358,03-Apr-2023,Setting up of Zoos,"Amol Ramsing Kolhe
Vijay Kumar","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
359,03-Apr-2023,Central Programmes and Projects in Idukki,Dean Kuriakose,TOURISM
360,03-Apr-2023,Review on Education of Disabled Children and Steps taken by the Government for them,"Rajyavardhan Singh Rathore
Girish Chandra",Education
361,03-Apr-2023,One-time Relaxation in Eligibility Criteria in JEE,P.R. Natarajan,Education
362,03-Apr-2023,Use of CSR Fund,Hemant Tukaram Godse,CORPORATE AFFAIRS
363,03-Apr-2023,Asset Monetization Programme,P. Velusamy,FINANCE
364,03-Apr-2023,Inclusion of Identified Historical Places of Odisha as National Monuments,Basanta Kumar Panda,CULTURE
365,03-Apr-2023,Special Programmes Organised for Conservation and Promotion of Art and Culture,Jyotsna Charandas Mahant,CULTURE
366,03-Apr-2023,Hazardous Waste,"Kinjarapu Ram Mohan Naidu
Kirit Premjibhai Solanki","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
367,03-Apr-2023,Time spent by Students in Coaching Institutes,Vishnu Dayal Ram,Education
368,03-Apr-2023,Emission Inventory Report,Satyadev Pachauri,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
369,03-Apr-2023,Other Traditional Forest Dwellers,Arjunlal Meena,TRIBAL AFFAIRS
370,03-Apr-2023,Funds to Tamil Nadu for Environmental Issues,D. M. Kathir Anand,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
371,03-Apr-2023,Relocation of Elephants,Prajwal Revanna,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
372,03-Apr-2023,RISE,Rajveer Diler,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
373,03-Apr-2023,Adequate Employment Opportunities to Unemployed Youth,"Manoj Kumar Tiwari
Nishikant Dubey",LABOUR AND EMPLOYMENT
374,03-Apr-2023,Skilled and Semi-skilled Labourers,Sunil Dattatray Tatkare,LABOUR AND EMPLOYMENT
375,03-Apr-2023,International Agreements on Climate Change,M. P. Abdussamad Samadani,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
376,03-Apr-2023,Jan Shikshan Sansthan,Jayant Sinha,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
377,03-Apr-2023,Re-establishment of India as Tourist Paradise,"Pritam Gopinath Munde
Chandra Sekhar Sahu
Rahul Ramesh Shewale",TOURISM
378,03-Apr-2023,Assessment to identify e-Waste,"Ajay Kumar Mandal
Navneet Ravi Rana
Locket Chatterjee","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
379,03-Apr-2023,National Digital University,"Rajveer (Raju Bhaiya) Singh
Ajay Kumar Mandal
Raja Amareshwara Naik
Ranjeetsingh Naik Nimbalkar
Locket Chatterjee
Navneet Ravi Rana
Devji Mansingram Patel
Aparajita Sarangi",Education
380,03-Apr-2023,Development of Action Plan,Maddila Gurumoorthy,TRIBAL AFFAIRS
381,03-Apr-2023,National Higher Education Qualifications Framework,Chandra Sekhar Bellana,Education
382,03-Apr-2023,Afforestation Programmes,Rajveer Diler,TRIBAL AFFAIRS
383,03-Apr-2023,Medical Waste,"Hanuman Beniwal
Sanjay Seth","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
384,03-Apr-2023,Monitoring of Schemes,Chandrani Murmu,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
385,03-Apr-2023,Virtual Digital Assets,K. Subbarayan,FINANCE
386,03-Apr-2023,Utilisation of Funds,Shashi Tharoor,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
387,03-Apr-2023,"Reservation at Entry Level Classes in Schools under RTE Act, 2009",Vishnu Dutt Sharma,Education
388,03-Apr-2023,Utilisation of Funds allocated under eShram Portal,Ganesh Singh,LABOUR AND EMPLOYMENT
389,03-Apr-2023,Child Labour in Industries,Lavu Sri Krishna Devarayalu,LABOUR AND EMPLOYMENT
390,03-Apr-2023,Skill India Digital Platform,Sisir Kumar Adhikari,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
391,03-Apr-2023,Promotion of Rich Cultural Heritage of Maharashtra,Subhash Ramrao Bhamre,CULTURE
392,03-Apr-2023,Allocation of Funds under CAMPA,"Srinivas Kesineni
Maddila Gurumoorthy","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
393,03-Apr-2023,Literacy Rate,T. R. Paarivendhar,Education
394,03-Apr-2023,Private Colleges functional in Andhra Pradesh,Reddeppa Nallakonda Gari,Education
395,03-Apr-2023,Decline in Basic Reading and Mathematical Abilities among School Children,"Ravneet Singh
D. Ravikumar
Kinjarapu Ram Mohan Naidu",Education
396,03-Apr-2023,Schemes for Promotion of Tribal Culture in Gujarat,Jaswantsinh Sumanbhai Bhabhor,CULTURE
397,03-Apr-2023,Development of North-East as New Tourist Destinations,C. Lalrosanga,TOURISM
398,03-Apr-2023,Investment under NEIDS,Abhishek Banerjee,DEVELOPMENT OF NORTH EASTERN REGION
399,03-Apr-2023,ATMs in Rural Areas,"DNV Senthilkumar. S.
Supriya Sadanand Sule",FINANCE
400,03-Apr-2023,Tax on Tobacco Products,V. Kalanidhi,FINANCE
401,03-Apr-2023,Investment proposals by PSUs,Magunta Sreenivasulu Reddy,FINANCE
402,03-Apr-2023,Scheme in Tamil Nadu,S. Ramalingam,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
403,03-Apr-2023,Technical Education,Ashok Mahadeorao Nete,Education
404,03-Apr-2023,Decarbonize the Industrial Sector,Jagannath Sarkar,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
405,03-Apr-2023,Relief Package for Tourism Sector in Kerala,Suresh Kodikunnil,TOURISM
406,03-Apr-2023,National Tourism Council,Raghu Ramakrishna Raju Kanumuru,TOURISM
407,03-Apr-2023,Financial Scams of Stock Broking Companies,A. Chellakumar,FINANCE
408,03-Apr-2023,Skill Development of Youth Living Below Poverty Line,Sukanta Majumdar,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
409,03-Apr-2023,New Policy to Control Noise Pollution,Rahul Kaswan,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
410,03-Apr-2023,Alumni Associations of the Schools and Colleges,S. Muniswamy,Education
411,03-Apr-2023,Tapping of Tourism Opportunities,"Su Thirunavukkarasar
Ravneet Singh",CORPORATE AFFAIRS
412,03-Apr-2023,Pre Matric Scholarship,Goddeti Madhavi,TRIBAL AFFAIRS
413,03-Apr-2023,Skill Development Training,Vivek Narayan Shejwalkar,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
414,03-Apr-2023,Apex Committee for the Implementation of the Paris Agreement,Dushyant Singh,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
415,03-Apr-2023,Financial Assistance to Uttar Pradesh,Kunwar Danish Ali,FINANCE
416,03-Apr-2023,Disbursement of Grants Recommended by 15th Finance Commission,M. K. Raghavan,FINANCE
417,03-Apr-2023,Remittances from Indian Labourers,Janardan Mishra,FINANCE
418,03-Apr-2023,Funds to Skill India Centre,"Kripanath Mallah
Jaskaur Meena
V. Kalanidhi",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
419,03-Apr-2023,Amendment to Prevention of Money Laundering (Maintenance of Records) Rules,Manickam Tagore B,FINANCE
420,03-Apr-2023,Committee to Oversee PM-SHRI Schools,Jayadev Galla,Education
421,03-Apr-2023,CSR Compliance,"Su Thirunavukkarasar
Ravneet Singh",CORPORATE AFFAIRS
422,03-Apr-2023,Repair/Restoration of Monuments,Nishikant Dubey,CULTURE
423,03-Apr-2023,Labour Shortfall for Industries in Tamil Nadu,S.R. Parthiban,LABOUR AND EMPLOYMENT
424,03-Apr-2023,PMKVY in Uttar Pradesh,Ashok Kumar Rawat,SKILL DEVELOPMENT AND ENTREPRENEURSHIP
425,03-Apr-2023,Company Receiving Foreign Funds,Ramcharan Bohra,FINANCE
426,03-Apr-2023,Climate Finance,"Heena Vijaykumar Gavit
Unmesh Bhaiyyasaheb Patil
Sujay Radhakrishna Vikhepatil
Rita Bahuguna Joshi
Aparupa Poddar
Shrikant Eknath Shinde
Krishna Pal Singh Yadav","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
427,03-Apr-2023,Status of PRASAD Scheme in Tamil Nadu,P. Ravindhranath,TOURISM
428,03-Apr-2023,Protected Monuments under Archaeological Survey of India,"Devji Mansingram Patel
Ranjeetsingh Naik Nimbalkar",CULTURE
429,03-Apr-2023,Identification of Important Religious Places of Gujarat Under PRASAD Scheme,"Mohanbhai Kalyanji Kundariya
Dipsinh Shankarsinh Rathod",TOURISM
430,03-Apr-2023,Reassessment of Income,Mahua Moitra,FINANCE
431,03-Apr-2023,Vacant Positions at CPCB/SPCBs,Sunil Kumar Singh,"ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
432,03-Apr-2023,Repair/Restoration of Monuments,"Jadon Chandra Sen
Keshari Devi Patel
Sanghamitra Maurya",SKILL DEVELOPMENT AND ENTREPRENEURSHIP
433,03-Apr-2023,Funds Spent on National Mission on Libraries,Parbatbhai Savabhai Patel,CULTURE
434,03-Apr-2023,Increase in the Funding to States under RUSA,Hibi Eden,Education
435,03-Apr-2023,Protection of Forest and Environment,"Arvind Ganpat Sawant
Omprakash Bhupalsinh alias Pawan Rajenimbalkar","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
436,03-Apr-2023,Pollution Rankings,"Gurjeet Singh Aujla
Mohammad Jawed
Balubhau (Alias Suresh Narayan) Dhanorkar
Bharatiben Dhirubhai Shyal
Anubhav Mohanty
Sunil Kumar","ENVIRONMENT, FORESTS AND CLIMATE CHANGE"
437,03-Apr-2023,Boost the Standard of EMRS,Sanganna Amarappa Karadi,TRIBAL AFFAIRS
438,03-Apr-2023,Privatisation of PSBs,Karti P. Chidambaram,FINANCE
